no,kode_rs,propinsi,pemilik,nama_rs,ranap,rajal,total,kelas
42,3174041,DKI JAKARTA,Pemerintah,RSJ DR. SOEHATO HEERJAN JAKARTA,"14,539","167,913","182,453",A
43,3171056,DKI JAKARTA,Swasta,RSU MRCCC SILOAM SEMANGGI,"16,091","155,867","171,958",A
44,1371316,SUMATERA BARAT,Pemerintah,RSJ PROF DR HB SAANIN,"9,444","151,842","161,286",A
45,3578192,JAWA TIMUR,Pemerintah,RS JIWA MENUR,"10,411","143,681","154,141",A
46,3201024,JAWA BARAT,Pemerintah,RS PARU DR. GOENAWAN PARTOWIDIGDO CISARUA,"27,778","122,306","150,101",A
47,1671061,SUMATERA SELATAN,Pemerintah,RS ERNALDI BAHAR,"6,663","135,481","142,144",A
48,3172758,DKI JAKARTA,Swasta,RSKB COLUMBIA ASIA PULOMAS,"7,743","125,696","133,445",A
49,3372052,JAWA TENGAH,Pemerintah,RS JIWA SURAKARTA,"10,352","111,097","121,449",A
50,3374123,JAWA TENGAH,Pemerintah,RS JIWA DR. AMINO GONDOHUTOMO,"24,418","94,633","119,051",A
51,3175064,DKI JAKARTA,Pemerintah,RSPI PROF. DR. SULIANTI SAROSO,"12,411","104,220","116,631",A
52,7371096,SULAWESI SELATAN,Pemerintah,RSKD DADI PROV. SULSEL,"17,227","96,061","113,288",A
53,3273201,JAWA BARAT,Pemerintah,RS PARU DR. H.A. ROTINSULU BANDUNG,"27,928","84,671","112,599",A
54,3373042,JAWA TENGAH,Pemerintah,RS PARU DR. ARIO WIRAWAN SALATIGA,"30,563","74,382","104,945",A
55,5171064,BALI,Pemerintah,RS KHUSUS MATA BALI MANDARA,"5,506","92,320","97,826",A
56,3217042,JAWA BARAT,Pemerintah,RSJ PROPINSI JAWA BARAT,"9,453","69,769","79,384",A
57,3404022,DIY,Pemerintah,RS JIWA GHRASIA,"6,641","62,255","68,935",A
58,1275221,SUMATERA UTARA,Pemerintah,RS JIWA MEDAN,"5,630","60,419","66,049",A
59,6472063,KALIMANTAN TIMUR,Pemerintah,RS JIWA ATMA HUSADA MAHAKAM,"6,885","52,059","58,944",A
60,5106025,BALI,Pemerintah,RS JIWA BANGLI,"7,927","50,105","58,032",A
61,1171041,NAD,Pemerintah,RS JIWA BANDA ACEH,"8,815","48,761","57,589",A
62,1471146,RIAU,Pemerintah,RS JIWA TAMPAN,"5,565","47,117","52,705",A
63,3374366,JAWA TENGAH,Swasta,RS KHUSUS BEDAH COLUMBIA ASIA SEMARANG,"6,654","20,437","27,091",A
64,3273464,JAWA BARAT,Swasta,RSGM FKG UNIV. PADJAJARAN,125,"2,416","2,541",A
1,3174026,DKI JAKARTA,Swasta,RS PELNI PETAMBURAN,"158,669","1,949,742","2,108,413",B
2,3175016,DKI JAKARTA,Pemerintah,RSU KOJA,"177,686","1,596,600","1,774,482",B
3,3515015,JAWA TIMUR,Pemerintah,RSUD SIDOARJO,"183,095","1,493,252","1,676,351",B
4,3277031,JAWA BARAT,Pemerintah,RUMKIT TK II DUSTIRA CIMAHI,"124,513","1,201,159","1,335,676",B
5,3172126,DKI JAKARTA,Pemerintah,RSU PASAR REBO,"81,253","1,194,260","1,275,513",B
6,3302026,JAWA TENGAH,Pemerintah,RSUD PROF. DR. MARGONO SOEKARJO,"154,661","1,111,051","1,265,715",B
7,3172024,DKI JAKARTA,Pemerintah,RSU BUDHI ASIH,"81,795","1,175,969","1,257,764",B
8,3204086,JAWA BARAT,Pemerintah,RSUD AL IHSAN,"94,361","1,139,986","1,234,370",B
9,3209051,JAWA BARAT,Swasta,RS MITRA PLUMBON,"112,516","1,044,335","1,156,851",B
10,3578571,JAWA TIMUR,Pemerintah,RSUD DR MOHAMAD SOEWANDHIE,"72,481","1,074,787","1,148,295",B
11,3174074,DKI JAKARTA,Pemerintah,RSUD CENGKARENG,"105,225","938,351","1,043,577",B
12,3271104,JAWA BARAT,Pemerintah,RSUD KOTA BOGOR,"89,108","919,602","1,010,825",B
13,1275889,SUMATERA UTARA,Swasta,MURNI TEGUH MEMORIAL HOSPITAL,"91,977","875,384","967,376",B
14,3310384,JAWA TENGAH,Swasta,RS ISLAM KLATEN,"70,835","886,988","957,823",B
15,3275115,JAWA BARAT,Swasta,RSIA HERMINA BEKASI,"73,066","864,504","937,571",B
16,5271087,NTB,Pemerintah,RSUD KOTA MATARAM,"65,848","852,096","917,945",B
17,3578224,JAWA TIMUR,Swasta,RS JEMUR SARI/RSI SURABAYA,"54,944","858,193","913,140",B
18,3274016,JAWA BARAT,Pemerintah,RSUD GUNUNG JATI,"87,130","824,432","911,701",B
19,3671054,BANTEN,Swasta,RS SILOAM INTERNATIONAL HOSPITAL,"62,607","841,645","904,253",B
20,3171795,DKI JAKARTA,Pemerintah,RSUD PASAR MINGGU,"89,420","812,404","901,833",B
21,3371014,JAWA TENGAH,Pemerintah,RSU TIDAR,"82,691","812,352","895,043",B
22,3302015,JAWA TENGAH,Pemerintah,RSUD BANYUMAS,"72,563","772,315","844,878",B
23,3603010,BANTEN,Pemerintah,RSU TANGERANG,"68,495","765,534","834,029",B
24,3275013,JAWA BARAT,Pemerintah,RSUD DR. CHASBULLAH ABDULMADJID,"84,911","728,739","813,664",B
25,3172061,DKI JAKARTA,Pemerintah,RUSPAU DR ESTAWAN/RUSPAU DR. ESNAWAN HALIM PERDANAKUSUMAH,"29,658","774,397","804,056",B
26,3578523,JAWA TIMUR,Pemerintah,RSU HAJI SURABAYA,"51,508","749,688","801,209",B
27,3374076,JAWA TENGAH,Swasta,RS SULTAN AGUNG SEMARANG,"96,800","698,126","794,932",B
28,3273420,JAWA BARAT,Swasta,RS AL-ISLAM BANDUNG,"60,553","718,724","779,318",B
29,1109016,NAD,Pemerintah,RSUD TGK CHIK DITIRO SIGLI,"79,420","685,670","765,090",B
30,3271013,JAWA BARAT,Swasta,RS PMI BOGOR,"67,272","694,684","761,956",B
31,3578213,JAWA TIMUR,Pemerintah,RSUD BHAKTI DHARMA HUSADA,"36,011","707,056","743,124",B
32,3517010,JAWA TIMUR,Pemerintah,RSUD KAB. JOMBANG,"93,593","645,158","738,755",B
33,3504012,JAWA TIMUR,Pemerintah,RSUD DR. ISKAK TULUNGAGUNG,"103,068","627,152","730,220",B
34,3402016,DIY,Pemerintah,RSUD PANEMBAHAN SENOPATI,"64,588","663,173","727,804",B
35,3173073,DKI JAKARTA,Swasta,RS ISLAM JAKARTA,"54,609","643,454","698,063",B
36,3319032,JAWA TENGAH,Swasta,RS MARDI RAHAYU,"69,021","620,558","689,581",B
37,3376012,JAWA TENGAH,Pemerintah,RSUD KARDINAH,"64,992","624,268","689,260",B
38,5103032,BALI,Pemerintah,RSUD BADUNG,"52,130","632,433","684,569",B
39,3211015,JAWA BARAT,Pemerintah,RSUD SUMEDANG,"100,447","574,646","675,094",B
40,3578111,JAWA TIMUR,Swasta,RS ISLAM SURABAYA,"45,869","628,694","674,598",B
41,3272014,JAWA BARAT,Pemerintah,RSUD R SYAMSUDIN SH,"127,802","544,333","672,135",B
42,1471011,RIAU,Pemerintah,RSUD ARIFIN ACHMAD,"98,191","572,932","671,255",B
43,3320010,JAWA TENGAH,Pemerintah,RSU R.A. KARTINI,"72,245","594,992","667,237",B
44,3578777,JAWA TIMUR,Pemerintah,RS UNIVERSITAS AIRLANGGA,"50,353","609,313","659,669",B
45,1174016,NAD,Pemerintah,RSU CUT MEUTIA LHOKSEUMAWE ACEH UTARA,"65,211","590,998","656,213",B
46,3277020,JAWA BARAT,Pemerintah,RSU CIBABAT,"65,925","589,796","655,721",B
47,6403015,KALIMANTAN TIMUR,Pemerintah,RSUD AM PARIKESIT TENGGARONG,"91,580","555,957","647,539",B
48,3471052,DIY,Swasta,RS PANTI RAPIH,"53,433","591,806","645,282",B
49,3214031,JAWA BARAT,Swasta,RS SILOAM PURWAKARTA,"64,319","579,211","643,530",B
50,3201126,JAWA BARAT,Swasta,RSU HERMINA DEPOK,"56,488","581,011","637,499",B
51,3328011,JAWA TENGAH,Pemerintah,RSUD DR. H. RM SOESELO W,"91,623","542,389","634,012",B
52,3577015,JAWA TIMUR,Pemerintah,RSU DR. SOEDONO MADIUN,"72,623","558,408","631,066",B
53,3515106,JAWA TIMUR,Swasta,RS ISLAM SITI HAJAR,"50,791","578,858","629,649",B
54,3524016,JAWA TIMUR,Pemerintah,RSUD DR SOEGIRI LAMONGAN,"61,243","558,742","619,985",B
55,3203015,JAWA BARAT,Pemerintah,RSU CIANJUR,"100,644","517,365","618,010",B
56,3201050,JAWA BARAT,Pemerintah,RSUD CIAWI,"58,064","559,845","617,909",B
57,3174431,DKI JAKARTA,Swasta,RSIA HERMINA DAAN MOGOT,"65,337","551,753","617,090",B
58,5102010,BALI,Pemerintah,RSU TABANAN,"44,354","568,836","613,252",B
59,3525010,JAWA TIMUR,Pemerintah,RSUD IBNU SINA KAB. GRESIK,"54,467","551,317","605,789",B
60,3374342,JAWA TENGAH,Pemerintah,RSUD KOTA SEMARANG,"104,890","493,924","598,883",B
61,3172243,DKI JAKARTA,Swasta,RSU HERMINA JATINEGARA,"37,381","556,494","593,875",B
62,1171110,NAD,Pemerintah,RSU MEURAXA,"63,494","530,019","593,634",B
63,3522014,JAWA TIMUR,Pemerintah,RSU DR. R. SOSODORO DJATIKOESOEMO,"63,538","529,567","593,108",B
64,3578086,JAWA TIMUR,Swasta,RS PHC,"34,376","555,705","590,081",B
65,3319010,JAWA TENGAH,Pemerintah,RSU KUDUS,"71,168","512,598","583,766",B
66,3204016,JAWA BARAT,Pemerintah,RSUD MAJALAYA,"64,613","513,022","577,635",B
67,3309015,JAWA TENGAH,Pemerintah,RSUD PANDAN ARANG BOYOLALI,"52,258","522,379","574,676",B
68,3372165,JAWA TENGAH,Swasta,RSU KASIH IBU,"49,030","523,665","572,695",B
69,3604013,BANTEN,Pemerintah,RSU SERANG,"84,139","486,986","571,125",B
70,3305066,JAWA TENGAH,Swasta,RSU PKU MUHAMMADIYAH,"66,812","500,926","567,741",B
71,3372026,JAWA TENGAH,Swasta,RS DR. OEN,"54,861","506,061","560,922",B
72,3573066,JAWA TIMUR,Swasta,RS PTPN XI LAVALETE,"47,783","510,288","558,082",B
73,3374134,JAWA TENGAH,Pemerintah,RSUD TUGUREJO,"73,885","480,661","554,546",B
74,3273030,JAWA BARAT,Pemerintah,RSAU DR M SALAMUN,"35,410","516,639","552,049",B
75,3372096,JAWA TENGAH,Swasta,RSU PKU MUHAMMADIYAH,"84,149","466,344","550,493",B
76,3215012,JAWA BARAT,Pemerintah,RSUD KARAWANG,"105,009","445,432","550,441",B
77,3201046,JAWA BARAT,Pemerintah,RSU CIBINONG,"71,510","475,332","546,845",B
78,3201230,JAWA BARAT,Swasta,RS SENTRA MEDIKA CIBINONG,"44,128","495,808","539,937",B
79,3404183,DIY,Swasta,RS PKU MUHAMMADIYAH YOGYAKARTA UNIT II,"44,992","483,069","528,081",B
80,3515026,JAWA TIMUR,Swasta,RSU SITI KHODIJAH,"54,507","471,811","526,318",B
81,3573022,JAWA TIMUR,Pemerintah,RUMKIT TK II SOEPRAOEN,"46,896","472,414","519,312",B
82,1110075,NAD,Pemerintah,RSU DR. FAUZIAH BIREUEN,"65,514","451,355","516,875",B
83,3323013,JAWA TENGAH,Pemerintah,RSUD DJOJONEGORO TEMANGGUNG,"62,010","449,211","511,221",B
84,3172505,DKI JAKARTA,Swasta,RS ISLAM JAKARTA TIMUR,"37,997","472,374","510,371",B
85,3324014,JAWA TENGAH,Pemerintah,RSUD DR. H. SOEWONDO KENDAL,"55,272","453,681","508,953",B
86,3205010,JAWA BARAT,Pemerintah,RSU DR SLAMET,"90,708","416,410","507,118",B
87,3576014,JAWA TIMUR,Pemerintah,RSU. DR. WAHIDIN SUDIRO HUSODO,"42,168","464,317","506,485",B
88,3306012,JAWA TENGAH,Pemerintah,DR. TJITROWARDOJO PURWOREJO,"58,535","447,303","505,838",B
89,3471074,DIY,Pemerintah,RSPAU DR. SUHARDI HARJOLUKITO,"41,174","463,927","505,108",B
90,3673036,BANTEN,Swasta,RS.SARI ASIH SERANG,"62,003","441,786","503,789",B
91,3208013,JAWA BARAT,Pemerintah,RSUD KUNINGAN,"51,124","452,618","503,743",B
92,6473016,KALIMANTAN UTARA,Pemerintah,RSUD DR. H. JUSUF SK,"76,099","426,115","502,222",B
93,3371025,JAWA TENGAH,Pemerintah,RUMKIT TK II DR. SOEDJONO,"50,219","449,691","499,910",B
94,3578781,JAWA TIMUR,Swasta,RS.ROYAL SURABAYA,"18,642","480,105","498,747",B
95,3301014,JAWA TENGAH,Pemerintah,RSU CILACAP,"66,493","426,601","493,094",B
96,3525021,JAWA TIMUR,Swasta,RS PT SEMEN GRESIK,"27,439","463,897","491,336",B
97,3602011,BANTEN,Pemerintah,RSUD DR. ADJIDARMO,"82,150","408,261","490,415",B
98,3514036,JAWA TIMUR,Pemerintah,RSUD BANGIL,"61,661","424,978","486,639",B
99,6371072,KALIMANTAN SELATAN,Pemerintah,RSUD DR. H. M. ANSHARI SALEH,"53,617","430,776","484,397",B
100,3314012,JAWA TENGAH,Pemerintah,RSUD DR. SOEHADI PRIJONEGORO,"48,730","434,959","483,699",B
101,1107014,NAD,Pemerintah,RSUD CUT NYAK DIEN,"66,184","416,889","483,077",B
102,3671203,BANTEN,Swasta,RS PRIMAYA TANGERANG,"35,283","443,363","478,646",B
103,1207015,SUMATERA UTARA,Pemerintah,RS RANTAU PRAPAT,"45,411","433,126","478,537",B
104,3209054,JAWA BARAT,Swasta,RS PERMATA CIREBON,"37,598","433,538","471,137",B
105,3572010,JAWA TIMUR,Pemerintah,RSUD MARDI WALUYO,"41,877","428,767","470,645",B
106,3326011,JAWA TENGAH,Pemerintah,RSUD KRATON,"42,148","428,332","470,481",B
107,3209040,JAWA BARAT,Pemerintah,RSU ARJAWINANGUN,"71,068","399,209","470,277",B
108,3209014,JAWA BARAT,Pemerintah,RSUD WALED,"70,752","396,514","467,267",B
109,1372011,SUMATERA BARAT,Pemerintah,RSUD SOLOK,"42,807","424,146","466,954",B
110,3502010,JAWA TIMUR,Pemerintah,RSUD DR. HARJONO S PONOROGO,"56,058","410,515","466,587",B
111,3273405,JAWA BARAT,Pemerintah,RSUD KOTA BANDUNG,"43,848","422,681","466,536",B
112,3509010,JAWA TIMUR,Pemerintah,RSU DR. SOEBANDI,"68,403","395,921","464,327",B
113,3174015,DKI JAKARTA,Swasta,RS SUMBER WARAS,"32,734","431,129","463,864",B
114,3216318,JAWA BARAT,Swasta,RS HERMINA GRAND WISATA,"44,319","418,779","463,100",B
115,3526011,JAWA TIMUR,Pemerintah,RSUD SYARIFAH AMBAMI RATO EBU,"55,639","403,548","459,187",B
116,3571031,JAWA TIMUR,Pemerintah,RS BHAYANGKARA KEDIRI,"59,887","397,271","457,406",B
117,3173036,DKI JAKARTA,Pemerintah,RS AL DR MINTOHARJO,"37,370","418,486","455,862",B
118,3507096,JAWA TIMUR,Swasta,RS WAVA HUSADA,"64,616","389,604","454,220",B
119,3518011,JAWA TIMUR,Pemerintah,RSUD NGANJUK,"63,698","388,507","452,322",B
120,3523015,JAWA TIMUR,Pemerintah,RSUD DR. R. KOESMA TUBAN,"70,343","379,016","449,359",B
121,6271012,KALIMANTAN TENGAH,Pemerintah,RSU DR DORIS SYLVANUS,"71,277","376,237","447,515",B
122,3373016,JAWA TENGAH,Pemerintah,RSU SALATIGA,"50,232","397,192","447,426",B
123,3214032,JAWA BARAT,Swasta,RSU DR ABDUL RADJAK PURWAKARTA,"51,803","394,674","446,477",B
124,3212016,JAWA BARAT,Pemerintah,RSUD INDRAMAYU,"82,425","364,026","446,458",B
125,3216163,JAWA BARAT,Swasta,RS SENTRA MEDIKA CIKARANG,"40,839","403,791","444,633",B
126,1218158,SUMATERA UTARA,Swasta,RS GRANDMED,"81,989","358,617","440,606",B
127,3318016,JAWA TENGAH,Pemerintah,RSUD RAA SOEWONDO,"57,818","378,699","436,517",B
128,3214011,JAWA BARAT,Pemerintah,RSU BAYU ASIH,"51,706","384,703","436,409",B
129,3213010,JAWA BARAT,Pemerintah,RSUD SUBANG,"63,359","372,765","436,124",B
130,3571016,JAWA TIMUR,Pemerintah,RSU GAMBIRAN,"44,936","389,044","434,010",B
131,3510010,JAWA TIMUR,Pemerintah,RS BLAMBANGAN,"35,553","397,246","432,801",B
132,7371399,SULAWESI SELATAN,Swasta,RS PRIMAYA MAKASSAR,"42,136","390,383","432,520",B
133,3273052,JAWA BARAT,Swasta,RS IMMANUEL BANDUNG,"66,276","364,143","430,467",B
134,1471226,RIAU,Swasta,RS AWAL BROS PEKANBARU,"33,911","391,102","425,013",B
135,7312011,SULAWESI SELATAN,Pemerintah,RSU LATEMMAMALA SOPPENG,"45,406","374,163","419,575",B
136,5171020,BALI,Pemerintah,RSUD WANGAYA,"43,209","372,921","416,135",B
137,3276017,JAWA BARAT,Swasta,RS SENTRA MEDIKA,"41,405","374,396","415,801",B
138,3201083,JAWA BARAT,Pemerintah,RSUD LEUWILIANG,"57,865","357,797","415,670",B
139,5303028,NTT,Swasta,RS SILOAM KUPANG,"33,054","382,262","415,316",B
140,3173506,DKI JAKARTA,Swasta,RS DR. ABDUL RADJAK SALEMBA,"47,143","367,914","415,059",B
141,1375014,SUMATERA BARAT,Pemerintah,RSUD DR ACHMAD MOCHTAR,"41,395","373,386","414,781",B
142,5104012,BALI,Pemerintah,RSUD SANJIWANI GIANYAR,"40,442","374,185","414,627",B
143,1173012,NAD,Pemerintah,RSU LANGSA,"64,897","348,832","413,731",B
144,1275013,SUMATERA UTARA,Pemerintah,RSU DR. PIRNGADI,"37,163","376,172","413,336",B
145,1103010,NAD,Pemerintah,RSU DR. H. YULIDIN AWAY,"62,887","350,354","413,243",B
146,7371030,SULAWESI SELATAN,Pemerintah,RUMKIT TK II PELAMONIA,"56,714","355,923","412,740",B
147,3672011,BANTEN,Swasta,RS KRAKATAU MEDIKA,"35,086","377,360","412,446",B
148,3471234,DIY,Pemerintah,RS KOTA JOGJA,"27,446","383,000","411,011",B
149,5203012,NTB,Pemerintah,RSUD R. R. SUDJONO,"58,562","350,810","409,373",B
150,5108016,BALI,Pemerintah,RSUD KABUPATEN BULELENG,"58,387","348,998","407,387",B
151,3274020,JAWA BARAT,Pemerintah,RUMKIT TK III CIREMAI,"49,447","355,662","405,403",B
152,3175330,DKI JAKARTA,Swasta,RS ROYAL PROGRESS,"23,643","380,445","404,088",B
153,3511011,JAWA TIMUR,Pemerintah,RSUD DR. KOESNADI,"54,373","348,404","402,777",B
154,3578764,JAWA TIMUR,Pemerintah,RS BHAYANGKARA H.S SAMSOERI MERTOJOSO,"33,316","369,292","402,608",B
155,7371041,SULAWESI SELATAN,Pemerintah,RS KEPOLISIAN BHAYANGKARA,"79,513","321,705","401,220",B
156,3471063,DIY,Swasta,RS BETHESDA YOGYAKARTA,"46,594","354,456","401,128",B
157,5105013,BALI,Pemerintah,RSUD KLUNGKUNG,"35,963","365,042","401,005",B
158,3376082,JAWA TENGAH,Swasta,RS ISLAM HARAPAN ANDA,"78,016","322,471","400,487",B
159,1275907,SUMATERA UTARA,Swasta,RSU ROYAL PRIMA,"61,525","335,685","397,214",B
160,1106013,NAD,Pemerintah,RSU DATU BERU TAKENGON,"83,794","311,278","395,073",B
161,3202014,JAWA BARAT,Pemerintah,RSU SEKARWANGI,"71,783","322,915","394,718",B
162,3524031,JAWA TIMUR,Swasta,RS MUHAMMADIYAH LAMONGAN,"55,106","338,309","393,417",B
163,7371408,SULAWESI SELATAN,Swasta,RS UNIVERSITAS HASANUDDIN,"30,637","361,195","391,834",B
164,3505013,JAWA TIMUR,Pemerintah,RSUD NGUDI WALUYO WLINGI,"43,955","345,639","389,624",B
165,1473013,RIAU,Pemerintah,RSU DUMAI,"55,483","330,557","386,040",B
166,3173706,DKI JAKARTA,Swasta,RS HERMINA KEMAYORAN,"44,101","341,495","385,596",B
167,3312010,JAWA TENGAH,Pemerintah,RSUD DR. SOEDIRAN MS WONOGIRI,"50,883","334,059","384,942",B
168,3404011,DIY,Pemerintah,RSUD SLEMAN,"39,095","344,371","383,468",B
169,3206011,JAWA BARAT,Pemerintah,RSUD DR. SOEKARDJO,"66,621","314,941","381,562",B
170,3207023,JAWA BARAT,Pemerintah,RSUD BANJAR,"54,753","326,123","380,876",B
171,3374021,JAWA TENGAH,Swasta,RS ST. ELISABETH SEMARANG,"42,915","329,285","372,200",B
172,3329012,JAWA TENGAH,Pemerintah,RSU BREBES,"62,800","304,061","366,861",B
173,5371011,NTT,Pemerintah,RSU PROF DR WZ JOHANES,"43,037","321,193","364,230",B
174,1306015,SUMATERA BARAT,Pemerintah,RSU PARIAMAN,"24,601","337,777","362,378",B
175,3171072,DKI JAKARTA,Pemerintah,RS DR. SUYOTO PUSREHAB KEMHAN,"23,033","334,444","357,477",B
176,3172553,DKI JAKARTA,Swasta,RS HARAPAN BUNDA,"17,225","339,742","356,967",B
177,3516020,JAWA TIMUR,Pemerintah,RSU PROF DR SOEKANDAR,"34,342","322,624","356,966",B
178,3273539,JAWA BARAT,Swasta,RS HERMINA PASTEUR,"42,882","312,999","355,881",B
179,1871405,LAMPUNG,Swasta,RS URIP SUMOHARJO,"93,722","262,131","355,853",B
180,3404189,DIY,Swasta,RUMAH SAKIT AKADEMIK UNIVERSITAS GADJAH MADA,"27,957","327,795","355,752",B
181,7271036,SULAWESI TENGAH,Pemerintah,RS ANUTAPURA PALU,"75,887","279,652","355,539",B
182,7306046,SULAWESI SELATAN,Pemerintah,RSUD SYEKH YUSUP GOWA,"41,884","310,146","352,030",B
183,1872016,LAMPUNG,Pemerintah,RSUD AHMAD YANI,"80,042","271,655","351,697",B
184,3672022,BANTEN,Pemerintah,RSU KOTA CILEGON,"39,995","308,199","348,194",B
185,7471011,SULAWESI TENGGARA,Pemerintah,RSU PROVINSI KENDARI,"64,220","283,790","348,010",B
186,6306011,KALIMANTAN SELATAN,Pemerintah,RSU BRIGJEN H HASAN BASRY,"39,812","307,090","346,933",B
187,3171034,DKI JAKARTA,Pemerintah,RUMKITAL MARINIR CILANDAK,"26,218","320,679","346,902",B
188,3175031,DKI JAKARTA,Swasta,RS AKADEMIK ATMA JAYA,"22,176","319,393","341,569",B
189,3210025,JAWA BARAT,Pemerintah,RSUD CIDERES,"58,857","281,613","340,470",B
190,3506014,JAWA TIMUR,Pemerintah,RSU PARE,"56,420","279,891","336,312",B
191,3173084,DKI JAKARTA,Pemerintah,RUMKIT TK II M.RIDWAN MEURAKSA,"32,113","302,723","335,003",B
192,3216252,JAWA BARAT,Pemerintah,RS KAB. BEKASI,"39,980","293,039","333,019",B
193,1771014,BENGKULU,Pemerintah,RSU DR M YUNUS BENGKULU,"44,170","288,429","332,600",B
194,3374043,JAWA TENGAH,Swasta,RS TELOGOREJO,"25,759","303,201","329,257",B
195,3311016,JAWA TENGAH,Pemerintah,RSUD SUKOHARJO,"35,276","293,513","328,789",B
196,1606011,SUMATERA SELATAN,Pemerintah,RSU SEKAYU,"39,594","289,173","328,767",B
